Círculo,Centro_X_px,Centro_Y_px,Centro_X_cm,Centro_Y_cm
1,648,312,129.6,62.4
2,492,492,98.4,98.4
3,432,252,86.4,50.4
4,492,708,98.4,141.6
5,252,456,50.4,91.2
6,264,756,52.8,151.2
7,600,720,120.0,144.0
8,384,708,76.8,141.6
9,420,396,84.0,79.2
10,696,216,139.2,43.2
11,336,288,67.2,57.6
12,660,576,132.0,115.2
13,720,396,144.0,79.2
14,348,516,69.6,103.2
15,360,180,72.0,36.0
16,624,480,124.8,96.0
17,564,396,112.8,79.2
18,792,516,158.4,103.2
19,300,624,60.0,124.8
20,744,792,148.8,158.4
21,552,600,110.4,120.0
22,708,672,141.6,134.4
23,564,240,112.8,48.0
24,432,588,86.4,117.6
25,492,144,98.4,28.8
